frame,current_count,total_unique
1450,16,38
1451,16,38
1452,16,38
1453,16,38
1454,16,38
1455,16,38
1456,16,38
1457,16,38
1458,16,38
1459,16,38
1460,16,38
1461,16,38
1462,16,38
1463,16,38
1464,16,38
1465,16,38
1466,16,38
1467,16,38
1468,16,38
1469,16,38
1470,16,38
1471,16,38
1472,16,38
1473,16,38
1474,16,38
1475,16,38
1476,16,38
1477,16,38
1478,16,38
1479,16,38
1480,16,38
1481,16,38
1482,16,38
1483,16,38
1484,16,38
1485,16,38
1486,16,38
1487,16,38
1488,16,38
1489,16,38
1490,16,38
1491,16,38
1492,16,38
1493,16,38
1494,16,38
1495,16,38
1496,16,38
1497,16,38
1498,16,38
1499,16,38
1500,16,38
1501,16,38
1502,16,38
1503,16,38
1504,16,38
1505,16,38
1506,16,38
1507,16,38
1508,16,38
1509,16,38
1510,17,39
1511,17,39
1512,17,39
1513,17,39
1514,17,39
1515,17,39
1516,17,39
1517,17,39
1518,17,39
1519,17,39
1520,17,39
1521,17,39
1522,17,39
1523,17,39
1524,17,39
1525,17,39
1526,17,39
1527,17,39
1528,17,39
1529,17,39
1530,17,39
1531,17,39
1532,17,39
1533,17,39
1534,17,39
1535,16,39
1536,16,39
1537,16,39
1538,16,39
1539,16,39
1540,16,39
1541,16,39
1542,16,39
1543,16,39
1544,16,39
1545,16,39
1546,16,39
1547,16,39
1548,16,39
1549,16,39
1550,16,39
1551,17,40
1552,17,40
1553,16,40
1554,16,40
1555,16,40
1556,17,40
1557,17,40
1558,17,40
1559,17,40
1560,16,40
1561,16,40
1562,16,40
1563,16,40
1564,16,40
1565,16,40
1566,16,40
1567,16,40
1568,17,41
1569,17,41
1570,17,41
1571,17,41
1572,17,41
1573,17,41
1574,17,41
1575,17,41
1576,17,41
1577,17,41
1578,17,41
1579,17,41
1580,17,41
1581,17,41
1582,17,41
1583,17,41
1584,17,41
1585,17,41
1586,17,41
1587,17,41
1588,17,41
1589,17,41
1590,17,41
1591,17,41
1592,17,41
1593,17,41
1594,17,41
1595,17,41
1596,17,41
1597,17,41
1598,17,41
1599,17,41
1600,17,41
1601,17,41
1602,17,41
1603,17,41
1604,17,41
1605,17,41
1606,17,41
1607,17,41
1608,17,41
1609,17,41
1610,17,41
1611,17,41
1612,17,41
1613,17,41
1614,17,41
1615,17,41
1616,17,41
1617,17,41
1618,17,41
1619,17,41
1620,17,41
1621,17,41
1622,17,41
1623,17,41
1624,17,41
1625,17,41
1626,17,41
1627,17,41
1628,17,41
1629,17,41
1630,17,41
1631,17,41
1632,17,41
1633,17,41
1634,17,41
1635,17,41
1636,17,41
1637,17,41
1638,17,41
1639,17,41
1640,17,41
1641,17,41
1642,18,42
1643,18,42
1644,18,42
1645,18,42
1646,18,42
1647,18,42
1648,18,42
1649,18,42
1650,18,42
1651,18,42
1652,18,42
1653,18,42
1654,18,42
1655,18,42
1656,18,42
1657,18,42
1658,18,42
1659,18,42
1660,18,42
1661,18,42
1662,18,42
1663,18,42
1664,18,42
1665,18,42
1666,18,42
1667,18,42
1668,18,42
1669,18,42
1670,18,42
1671,18,42
1672,18,42
1673,18,42
1674,18,42
1675,18,42
1676,18,42
1677,18,42
1678,18,42
1679,18,42
1680,18,42
1681,18,42
1682,17,42
1683,17,42
1684,17,42
1685,17,42
1686,17,42
1687,17,42
1688,17,42
1689,17,42
1690,17,42
1691,17,42
1692,17,42
1693,17,42
1694,17,42
1695,17,42
1696,17,42
1697,17,42
1698,17,42
1699,17,42
1700,17,42
1701,17,42
1702,17,42
1703,17,42
1704,17,42
1705,17,42
1706,17,42
1707,17,42
1708,17,42
1709,17,42
1710,16,42
1711,16,42
1712,16,42
1713,16,42
1714,17,42
1715,16,42
1716,17,42
1717,17,42
1718,17,42
1719,17,42
1720,17,42
1721,17,42
1722,17,42
1723,17,42
1724,17,42
1725,17,42
1726,17,42
1727,17,42
1728,17,42
1729,16,42
1730,16,42
1731,16,42
1732,16,42
1733,17,43
